"ME_NUMERO","ME_CTR","ME_PLACA","ME_D_SAIDA","ME_K_SAIDA","ME_H_SAIDA","ME_T_SAIDA","ME_D_RET","ME_K_RET","ME_H_RET","ME_T_RET","ME_D_PREV","ME_H_PREV","ME_QUANT","ME_TIPOKM","ME_VALUNIT","ME_FRANQ","ME_KMEXCED","ME_HREXCED","ME_BONUS","ME_SEGURO","ME_TAXASER","ME_V_ANTEC","ME_CAUCAO","ME_PROTEC","ME_TAXAENT","ME_VAL_MOT","ME_EXT_MOT","ME_LIMITE","ME_AVARIAS","ME_PERDAT","ME_DM","ME_DP","ME_DPP","ME_LCE","ME_SUBST","ME_HORAS_MIN","ME_RETIRAR","ME_LOJA","ME_MOTOAD","ME_TIPOCTR","ME_DESCONTO","ME_DIAEXCED","ME_FRANQUIA_TER","ME_L_SAIDA","ME_L_PREV","ME_SAIUTMP","ME_CONDUTOR","CONTRATO_ID","DEVOLVIDO_AVARIAS","OBSERVACAO","OPERADOR","CODIGOGRUPO","ME_UPGRADE","ID_SUBSTITUICAO","ME_VALORPREVISTO","LOCACAO_ID","TIPOLOCACAO","QTD_HORAS_EXC","ME_TARIFA","OP_RECEBEU_VEICULO","CUPOM_PROMOCIONAL","STATUS","ME_RESERVA","MOVIMENTO_ID","MEDICAO","QTD_DIAS","ME_SUBSTITUTO","VE_TITULAR","ME_VALOR_AQUISICAO","VALOR_LOCACAO","VALOR_AQUISICAO","FRANQUIA_LOCACAO","LOCALIZACAO_ID","TIPO_DESCONTO","ME_SERVICOADICIONAL","CODIGONOTAFISCAL","SAIDA","RETORNO","PREVISAO","VALOR_REAJUSTADO","INDICE_REAJUSTE","INDICE","KM_RODADO"
1,"00000125001",SRZ8B67,2025-03-25,14000,08:00:00,"0  ",,,,,2026-09-27,08:00:00,78,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,1,N,,,,0.0,,35815.0,,,0.0,,,,A,,,"001",551,,S,,455.0,0.0,,,,,,2025-03-25 08:00:00.000,,2026-09-27 08:00:00.000,,,,0
2,"00000225001",TTF3C23,2025-03-25,6000,09:00:00,"0  ",2025-06-19,23015,10:25:00,"0  ",2026-06-07,09:00:00,62,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,2,N,,,,0.0,,28535.0,,,0.0,,,,E,,,"001",86,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2025-06-19 10:25:00.000,2026-06-07 09:00:00.000,,,,17015
3,"00000325001",SRZ9H80,2025-03-25,20058,08:00:00,"0  ",,,,,2026-10-01,08:00:00,79,L,420.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,3,N,,,,0.0,,33300.0,,,0.0,,,,A,,,"001",555,,S,,420.0,0.0,,,,,,2025-03-25 08:00:00.000,,2026-10-01 08:00:00.000,,,,0
4,"00000425001",SRZ8B77,2025-03-25,11526,09:00:00,"0  ",,,,,2026-09-30,09:00:00,79,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,4,N,,,,0.0,,36010.0,,,0.0,,,,A,,,"001",554,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,,2026-09-30 09:00:00.000,,,,0
5,"00000525001",TTS0B67,2025-03-25,9330,09:00:00,"0  ",2025-07-10,30050,16:51:00,"0  ",2027-01-29,09:00:00,96,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,5,N,,,,0.0,,43875.0,,,0.0,,,,E,,,"001",107,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2025-07-10 16:51:00.000,2027-01-29 09:00:00.000,,,,20720
6,"00000625001",TUQ0B84,2025-03-25,11930,09:00:00,"0  ",,,,,2027-01-29,09:00:00,96,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,6,N,,,,0.0,,43875.0,,,0.0,,,,A,,,"001",675,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,,2027-01-29 09:00:00.000,,,,0
7,"00000725001",TTF3I09,2025-03-25,6000,09:00:00,"0  ",,,,,2027-06-19,09:00:00,116,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,7,N,,,,0.0,,53040.0,,,0.0,,,,A,,,"001",816,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,,2027-06-19 09:00:00.000,,,,0
8,"00000825001",TTE6H33,2025-03-25,2130,09:00:00,"0  ",2025-09-18,12888,16:26:00,"0  ",2027-07-17,09:00:00,120,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,8,N,,,,0.0,,54860.0,,,0.0,,,,E,,,"001",177,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2025-09-18 16:26:00.000,2027-07-17 09:00:00.000,,,,10758
9,"00000925001",TTR0H12,2025-03-25,3000,09:00:00,"0  ",2025-06-09,6679,18:00:00,"0  ",2027-07-19,09:00:00,120,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,9,N,,,,0.0,,54990.0,,,0.0,,,,E,,,"001",76,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2025-06-09 18:00:00.000,2027-07-19 09:00:00.000,,,,3679
10,"00001025001",TUB0H06,2025-03-25,10173,09:00:00,"0  ",2026-05-19,93918,12:09:00,"0  ",2027-07-21,09:00:00,121,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,10,N,,,,0.0,,55120.0,,,0.0,,,,E,,,"001",420,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2026-05-19 12:09:00.000,2027-07-21 09:00:00.000,,,,83745
